=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 5건 (1승 4패)
총 수익금: -53,431원 (-5.3%)
  ㄴ 승리 수익: +35,000원 (실제 수익률 합계)
  ㄴ 손실 금액: -88,431원 (실제 손실률 합계)

=== 총 승패: 1승 4패 ===
=== selection_date 이후 승패: 1승 4패 ===
=== 📊 최대 동시 보유 종목 수: 2개 ===
=== 🌅 12시 이전 매수 종목: 1승 4패 (승률 20.0%) ===
총 수익금: -53,431원 (-5.3%)
  ㄴ 승리 수익: +35,000원
  ㄴ 손실 금액: -88,431원

   🔴 450140 09:59 매수 → -2.50%
   🔴 036710 10:42 매수 → -2.50%
   🟢 042520 11:18 매수 → +3.50%
   🔴 397030 11:27 매수 → -1.34%
   🔴 109670 11:36 매수 → -2.50%

=== 001520 - 20250930 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-30 09:02:28
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:1,290 | 거래량:2,617,645 | 🔴회피(시가대비0.3%상승(2%미만차단)) | 신뢰도:0%
    09:15→09:18: 종가:1,250 | 거래량:3,350,122 | 🔴회피(당일시가이하(시가:1286)) | 신뢰도:0%
    09:18→09:21: 종가:1,207 | 거래량:3,309,723 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:21→09:24: 종가:1,194 | 거래량:3,284,647 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:24→09:27: 종가:1,158 | 거래량:1,843,660 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:27→09:30: 종가:1,216 | 거래량:3,634,722 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:30→09:33: 종가:1,109 | 거래량:8,381,151 | 🔴회피(위험신호: LARGE_BEARISH_VOLUME) | 신뢰도:0%
    09:33→09:36: 종가:1,115 | 거래량:2,713,228 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:36→09:39: 종가:1,127 | 거래량:3,308,360 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:39→09:42: 종가:1,098 | 거래량:2,332,126 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:42→09:45: 종가:1,115 | 거래량:1,689,412 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:45→09:48: 종가:1,098 | 거래량:1,054,609 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:48→09:51: 종가:1,093 | 거래량:742,521 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:51→09:54: 종가:1,068 | 거래량:1,811,693 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:54→09:57: 종가:1,072 | 거래량:918,538 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:57→10:00: 종가:1,040 | 거래량:1,374,002 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:00→10:03: 종가:1,084 | 거래량:3,584,198 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:03→10:06: 종가:1,049 | 거래량:1,749,449 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:06→10:09: 종가:1,023 | 거래량:2,600,734 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:09→10:12: 종가:1,044 | 거래량:1,325,624 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:12→10:15: 종가:1,079 | 거래량:1,636,228 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:15→10:18: 종가:1,069 | 거래량:1,269,397 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:18→10:21: 종가:1,078 | 거래량:1,632,814 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:21→10:24: 종가:1,082 | 거래량:757,197 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:24→10:27: 종가:1,066 | 거래량:833,110 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:27→10:30: 종가:1,090 | 거래량:1,932,938 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:30→10:33: 종가:1,163 | 거래량:5,404,195 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:33→10:36: 종가:1,125 | 거래량:5,682,746 | 🔴회피(위험신호: LARGE_BEARISH_VOLUME) | 신뢰도:0%
    10:36→10:39: 종가:1,128 | 거래량:1,968,133 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:39→10:42: 종가:1,135 | 거래량:1,581,282 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:42→10:45: 종가:1,120 | 거래량:986,852 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:45→10:48: 종가:1,133 | 거래량:606,314 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:48→10:51: 종가:1,140 | 거래량:2,900,108 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:51→10:54: 종가:1,144 | 거래량:1,208,300 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:54→10:57: 종가:1,132 | 거래량:688,155 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:57→11:00: 종가:1,106 | 거래량:2,409,755 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:00→11:03: 종가:1,054 | 거래량:2,928,033 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:03→11:06: 종가:1,068 | 거래량:1,337,613 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:06→11:09: 종가:1,061 | 거래량:1,249,769 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:09→11:12: 종가:1,052 | 거래량:859,988 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:12→11:15: 종가:1,048 | 거래량:505,303 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:15→11:18: 종가:1,081 | 거래량:1,343,579 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:18→11:21: 종가:1,080 | 거래량:1,143,931 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:21→11:24: 종가:1,054 | 거래량:679,591 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:24→11:27: 종가:1,054 | 거래량:583,007 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:27→11:30: 종가:1,060 | 거래량:680,541 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:30→11:33: 종가:1,045 | 거래량:1,037,151 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:33→11:36: 종가:1,025 | 거래량:1,374,876 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:36→11:39: 종가:1,031 | 거래량:901,703 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:39→11:42: 종가:1,037 | 거래량:347,682 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:42→11:45: 종가:1,030 | 거래량:732,482 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:45→11:48: 종가:1,021 | 거래량:354,668 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:48→11:51: 종가:1,022 | 거래량:332,500 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:51→11:54: 종가:1,018 | 거래량:1,093,717 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:54→11:57: 종가:1,015 | 거래량:758,633 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:57→12:00: 종가:1,023 | 거래량:818,868 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:00→12:03: 종가:1,044 | 거래량:1,730,546 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:03→12:06: 종가:1,057 | 거래량:1,147,903 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:06→12:09: 종가:1,047 | 거래량:764,400 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:09→12:12: 종가:1,054 | 거래량:347,460 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:12→12:15: 종가:1,050 | 거래량:307,454 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:15→12:18: 종가:1,036 | 거래량:508,492 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:18→12:21: 종가:1,035 | 거래량:324,967 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:21→12:24: 종가:1,036 | 거래량:246,596 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:24→12:27: 종가:1,034 | 거래량:247,978 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:27→12:30: 종가:1,050 | 거래량:3,571,077 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:30→12:33: 종가:1,030 | 거래량:1,991,586 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:33→12:36: 종가:1,031 | 거래량:325,849 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:36→12:39: 종가:1,025 | 거래량:664,452 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:39→12:42: 종가:1,028 | 거래량:242,139 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:42→12:45: 종가:1,024 | 거래량:321,270 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:45→12:48: 종가:1,025 | 거래량:161,339 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:48→12:51: 종가:1,022 | 거래량:393,449 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:51→12:54: 종가:1,021 | 거래량:291,852 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:54→12:57: 종가:1,032 | 거래량:473,263 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:57→13:00: 종가:1,036 | 거래량:416,227 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:00→13:03: 종가:1,036 | 거래량:1,202,604 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:03→13:06: 종가:1,036 | 거래량:457,334 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:06→13:09: 종가:1,036 | 거래량:180,143 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:09→13:12: 종가:1,023 | 거래량:388,822 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:12→13:15: 종가:1,021 | 거래량:277,169 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:15→13:18: 종가:1,028 | 거래량:504,126 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:18→13:21: 종가:1,024 | 거래량:143,366 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:21→13:24: 종가:1,025 | 거래량:141,791 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:24→13:27: 종가:1,021 | 거래량:166,935 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:27→13:30: 종가:1,036 | 거래량:464,775 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:30→13:33: 종가:1,028 | 거래량:809,447 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:33→13:36: 종가:1,037 | 거래량:284,586 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:36→13:39: 종가:1,037 | 거래량:257,558 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:39→13:42: 종가:1,037 | 거래량:153,088 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:42→13:45: 종가:1,047 | 거래량:534,882 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:45→13:48: 종가:1,056 | 거래량:1,063,819 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:48→13:51: 종가:1,081 | 거래량:1,394,943 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:51→13:54: 종가:1,076 | 거래량:1,528,486 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:54→13:57: 종가:1,095 | 거래량:1,883,244 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:57→14:00: 종가:1,132 | 거래량:5,372,116 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:00→14:03: 종가:1,171 | 거래량:6,736,536 | 🔴회피(당일시가이하(시가:1286)) | 신뢰도:0%
    14:03→14:06: 종가:1,154 | 거래량:3,748,561 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:06→14:09: 종가:1,153 | 거래량:3,679,615 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:09→14:12: 종가:1,124 | 거래량:3,235,439 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:12→14:15: 종가:1,094 | 거래량:3,182,168 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:15→14:18: 종가:1,079 | 거래량:2,498,683 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:18→14:21: 종가:1,101 | 거래량:2,257,116 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:21→14:24: 종가:1,079 | 거래량:1,692,204 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:24→14:27: 종가:1,080 | 거래량:1,077,510 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:27→14:30: 종가:1,087 | 거래량:588,920 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:30→14:33: 종가:1,087 | 거래량:927,952 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:33→14:36: 종가:1,084 | 거래량:471,613 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:36→14:39: 종가:1,082 | 거래량:749,896 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:39→14:42: 종가:1,082 | 거래량:565,137 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:42→14:45: 종가:1,084 | 거래량:427,550 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:45→14:48: 종가:1,074 | 거래량:593,794 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:48→14:51: 종가:1,074 | 거래량:412,607 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:51→14:54: 종가:1,045 | 거래량:1,029,508 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:54→14:57: 종가:1,048 | 거래량:1,039,185 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:57→15:00: 종가:1,078 | 거래량:1,168,092 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:00→15:03: 종가:1,067 | 거래량:1,065,522 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:03→15:06: 종가:1,055 | 거래량:584,124 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:06→15:09: 종가:1,023 | 거래량:1,573,308 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:09→15:12: 종가:1,032 | 거래량:1,244,628 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:12→15:15: 종가:1,024 | 거래량:839,709 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:15→15:18: 종가:1,002 | 거래량:1,439,771 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:18→15:21: 종가:1,001 | 거래량:1,093,319 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%

=== 042520 - 20250930 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-30 10:27:01
  승패: 1승 0패
  selection_date 이후 승패: 1승 0패
  매매신호:
    11:18 [pullback_pattern]
  체결 시뮬레이션:
    11:18 매수[pullback_pattern] @18,092 → 11:30 매도[profit_3.5pct] @18,725 (+3.50%)
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:14,970 | 거래량:5,564 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:15→09:18: 종가:15,200 | 거래량:4,399 | 🔴회피(당일시가이하(시가:15600)) | 신뢰도:0%
    09:18→09:21: 종가:15,240 | 거래량:3,681 | 🔴회피(당일시가이하(시가:15600)) | 신뢰도:0%
    09:21→09:24: 종가:15,400 | 거래량:6,883 | 🔴회피(당일시가이하(시가:15600)) | 신뢰도:0%
    09:24→09:27: 종가:16,150 | 거래량:17,651 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:27→09:30: 종가:16,010 | 거래량:21,128 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:30→09:33: 종가:15,570 | 거래량:10,606 | 🔴회피(당일시가이하(시가:15600)) | 신뢰도:0%
    09:33→09:36: 종가:15,870 | 거래량:13,010 | 🔴회피(시가대비1.7%상승(2%미만차단)) | 신뢰도:0%
    09:36→09:39: 종가:15,750 | 거래량:9,984 | 🔴회피(시가대비1.0%상승(2%미만차단)) | 신뢰도:0%
    09:39→09:42: 종가:15,940 | 거래량:6,006 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:42→09:45: 종가:16,040 | 거래량:6,332 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:45→09:48: 종가:16,000 | 거래량:7,849 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:48→09:51: 종가:16,010 | 거래량:4,907 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:51→09:54: 종가:15,970 | 거래량:6,021 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:54→09:57: 종가:16,250 | 거래량:8,539 | 🟢강매수 | 신뢰도:89%
    09:57→10:00: 종가:16,270 | 거래량:4,957 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:00→10:03: 종가:16,670 | 거래량:30,264 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:03→10:06: 종가:16,780 | 거래량:26,925 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:06→10:09: 종가:16,930 | 거래량:31,876 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:09→10:12: 종가:16,920 | 거래량:12,024 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:12→10:15: 종가:17,150 | 거래량:13,636 | 🟢강매수 | 신뢰도:92%
    10:15→10:18: 종가:16,980 | 거래량:33,650 | 🔴회피(위험신호: LARGE_BEARISH_VOLUME) | 신뢰도:0%
    10:18→10:21: 종가:17,170 | 거래량:10,399 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:21→10:24: 종가:17,510 | 거래량:43,874 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:24→10:27: 종가:18,130 | 거래량:37,152 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:27→10:30: 종가:17,640 | 거래량:52,884 | 🔴회피(위험신호: LARGE_BEARISH_VOLUME) | 신뢰도:0%
    10:30→10:33: 종가:17,810 | 거래량:21,798 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:33→10:36: 종가:17,250 | 거래량:31,575 | 🔴회피(위험신호: LARGE_BEARISH_VOLUME) | 신뢰도:0%
    10:36→10:39: 종가:17,800 | 거래량:18,278 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:39→10:42: 종가:17,780 | 거래량:18,449 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:42→10:45: 종가:17,290 | 거래량:17,440 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:45→10:48: 종가:17,680 | 거래량:11,963 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:48→10:51: 종가:17,650 | 거래량:13,287 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:51→10:54: 종가:17,760 | 거래량:7,578 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:54→10:57: 종가:17,700 | 거래량:4,998 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:57→11:00: 종가:17,800 | 거래량:4,558 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:00→11:03: 종가:17,820 | 거래량:5,066 | 🟢강매수 | 신뢰도:89%
    11:03→11:06: 종가:17,870 | 거래량:6,569 | 🟢강매수 | 신뢰도:89%
    11:06→11:09: 종가:17,990 | 거래량:10,894 | 🟢강매수 | 신뢰도:87%
    11:09→11:12: 종가:18,000 | 거래량:24,815 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:12→11:15: 종가:17,770 | 거래량:11,608 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:15→11:18: 종가:18,190 | 거래량:15,050 | 🟢강매수 | 신뢰도:92% | 💰매수@18,092 | →11:30매도@18,725
    11:18→11:21: 종가:18,230 | 거래량:10,259 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:21→11:24: 종가:18,180 | 거래량:5,893 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:24→11:27: 종가:18,430 | 거래량:21,189 | 🟢강매수 | 신뢰도:90%
    11:27→11:30: 종가:18,500 | 거래량:18,613 | 🔴회피(4단계패턴없음) | 신뢰도:0%
